pais,departamento,municipio,lat,lon,familia,lengua,significado,origen,lengua_nativa,tema,otros_nombres,fuente,enlace_embeber
Bolivia,Potosí,Colquechaca,-18.808074,-66.013541,Quechua,Quechua,"""Qullqi"" significa plata y ""Chaka"" puente, lo que hace referencia al ""puente de planta"".""",,Sí,Época / Hecho histórico,,,
Bolivia,Potosí,Pocoata,-18.639376,-66.15577,Quechua,Quechua,"Viene de ""puquq wata"" que se traduce literalmente como ""año productivo/próspero"". Se piensa que el nombre se debe a que la tierra es muy fértil en esta zona. ",,Sí,Época / Hecho histórico,,,
Bolivia,Potosí,Llica,-20.050268,-68.412138,Quechua,Quechua,"Proviene de ""Llika"" que significa ""telaraña"".",,Sí,Época / Hecho histórico,,,
Bolivia,Cochabamba,Quillacollo,-17.211254,-66.329214,Jaqi/Aru,Aymara,"Proviene del aymara y su signifcado en español sería ""colina de ceniza"".",,Sí,Época / Hecho histórico,,"La provincia de Quillacollo. Peredo, R. (1963)",
Bolivia,Cochabamba,Sacaba,-17.331633,-66.030433,,,,,,,,,
Bolivia,Cochabamba,Tiquipaya,-17.188597,-66.202027,Jaqi/Aru,Aymara,"Tikili Paya, lugar donde hay columnas.",,Sí,Época / Hecho histórico,,"La provincia de Quillacollo. Peredo, R. (1963)",
Bolivia,Cochabamba,Colcapirhua,-17.390498,-66.232565,Indoeuropea/Romance,"Español, Quechua","Depósito de cosas valiosas. ""Qullqi"" significa plata, dinero. Y  ""Pirwa"" se refiere a un granero o depósito para guardar la cosecha.",,Sí,Época / Hecho histórico,,"Diccionario Qhëshwa - Castellano, Castellano - Qhëshwa. Lara, J. (1978).",
Bolivia,Cochabamba,Sipesipe,-17.502877,-66.391697,Quechua,Quechua,"El nombre del municipio proviene del quechua “Sipiy” que significa ahorcar ya que la gente mencionaba “sipiq, sipiq” cuando capturaban a algún español que trataba de invadir la población y procedían a horcarlo en el chilijchi de la plaza.",,Sí,Época / Hecho histórico,,"http://www.amdeco.org.bo/enlacemunicipios/sipeSipe.php#:~:text=Este%20chilijchi%20contiene%20tambi%C3%A9n%20la,el%20chilijchi%20de%20la%20plaza.",
Bolivia,Cochabamba,Vinto,-17.3422,-66.374089,,,,,,,,,
Bolivia,Cochabamba,Tarata,-17.691829,-66.06536,Quechua,Quechua,"Zona donde abunda la planta tara. Tara, thara o taya es un arbusto que pertenece a la familia de las leguminosas.",,Sí,Flora,,,
Bolivia,Cochabamba,Totora,-17.586335,-65.144328,,,,,,,,,
Bolivia,Santa Cruz,Buena Vista,-17.697758,-63.755955,,,,,,,,,
Bolivia,Santa Cruz,San Carlos,-17.29073,-63.7536,Indoeuropea/Romance,Español,,"San Carlos Borromeo, nacido el 2 de octubre de 1538 en Arona y fallecido el 3 de noviembre de 1584 en Milán, fue un cardenal italiano y arzobispo de Milán, reconocido como uno de los principales reformadores católicos de su tiempo. La Iglesia católica lo venera como santo.",No,Espiritualidad / Religión,,https://es.wikipedia.org/wiki/Carlos_Borromeo,
Bolivia,Beni,Magdalena,-12.994802,-63.687529,Indoeuropea/Romance,Español,,"Magdalena es un nombre femenino de origen hebreo que significa ""oriunda de Magdala"", una ciudad, y se utilizaba más como apellido que como nombre propio. También podría derivar de ""Migda-El"" (""torre de Dios""). Sus diminutivos incluyen Magda, Maida, Lena, Leni, y Malena.",No,,,,
Bolivia,Santa Cruz,Portachuelo,-17.356864,-63.448575,Indoeuropea/Romance,Español,,"El origen de ""Portachuelo"" tiene varias interpretaciones. Algunos afirman que proviene del dialecto chané, significando ""Puerto Chico"". Otros creen que combina los términos latinos ""porta"" (puerta) y ""coeli"" (cielo), significando ""Puerta del Cielo"". Según la RAE, significa un boquete entre montes.",No,,,"https://es.wikipedia.org/wiki/Portachuelo#:~:text=Al%20origen%20de%20su%20nombre,decir%20%22Puerta%20del%20Cielo%22.",
Bolivia,Potosí,San Antonio de Esmoruco,-22.084153,-66.63446,,,,,,,,,
Bolivia,Tarija,Uriondo,-21.742995,-64.708472,,,,,,,,,
Bolivia,Potosí,Mojinete,-21.813964,-66.351225,Indoeuropea/Romance,"Español, Guaraní",Mojinete es un tipo de tejadillo o caballete de los muros que evita que el agua de la lluvia no los penetre ni resbale por los paramentos.,,Sí,,,https://es.wikipedia.org/wiki/Mojinete_(desambiguaci%C3%B3n),
Bolivia,Tarija,Yacuiba,-21.796046,-63.284469,Tupí-guaraní,Guaraní,"Yacú significa ""pava"" e ibá ""aguada"", es decir, aguada de las pavas.
",,Sí,,,,
Bolivia,Tarija,Yunchará,-21.790287,-65.162833,,,,,,,,,
Bolivia,Tarija,Caraparí,-21.815936,-63.898914,,,,,,,,,
Bolivia,Tarija,San Lorenzo,-21.234163,-64.695245,Español,Español,,"Nombre en honor a Lorenzo de Roma, uno de los siete diáconos de Roma que  martirizado en una parrilla el 10 de agosto de 258, pocos días después del papa Sixto II. Su nombre figura en antiguos calendarios litúrgicos, y autores como San Agustín y Prudencio le dedicaron sermones e himnos en su honor.",No,Espiritualidad / Religión,,,
Bolivia,Tarija,El Puente,-21.278464,-65.049411,Indoeuropea/Romance,Español,,,,,,,
Bolivia,Potosí,Toro Toro,-18.209538,-65.700871,Quechua,Quechua,"Proviene de ""Thuru thuru pampa"", que significa pampa/ extensa planicie de lodo.",,Sí,,,,
Bolivia,Potosí,San Agustín,-21.495296,-67.413959,Indoeuropea/Romance,Español,"Agustín es un nombre masculino de origen latino. Deriva de ""Augustinus"", que proviene de ""Augustus"", y significa ""relativo o perteneciente a lo majestuoso"". También puede interpretarse como ""consagrado por los augures"", similar a ""Augusto"", asociado a algo digno o sagrado, o relacionado con agosto.","
En honor a Agustín de Hipona, conocido como San Agustín, nació el 13 de noviembre de 354 y falleció el 28 de agosto de 430. Fue un destacado escritor, teólogo y filósofo cristiano que se convirtió en obispo de Hipona. Reconocido como el ""Doctor de la Gracia"", luchó contra varias herejías y es autor de obras importantes como ""Confesiones"" y ""La ciudad de Dios"". Es venerado como santo por diversas comunidades cristianas.",No,Espiritualidad / Religión,,,
Bolivia,Tarija,Tarija,-21.559506,-64.593987,Indoeuropea/Romance,Español,,"Se denomina Tarija en honor a Bernardino de Tarixa, primer explorador de esta región.",No,Espiritualidad / Religión,,,
Bolivia,Potosí,Tahua,-20.287388,-67.943751,,,,,,,,,
